王者荣耀韩国官方赛事,253万
yyfyyf,244万
小QIMBA,48.5万
dy韩老实,12.6万
苏梓夏夏,219万
王者荣耀官方赛事,217万
伍声2009,178万
东北大鹌鹑,174万
纯白,156万
彡彡九户外,156万
超级小桀,142万
寅子,135万
三笠ackerman丶1,113万
DSL斗鱼超级联赛官方,102万
赛文柒Seven,88.3万
气人主播QQQ,84万
不2不叫周淑怡,82.5万
斗鱼绝地赛事,81.5万
女流66,78.8万
隔壁家的小妹妹,68.9万
有痕er,67.9万
47号Gamer,67.6万
若悠悠de二哥,67万
imbadota2频道,66.4万
白白白白白3,63万
yjjimpaopao,61.1万
英雄联盟官方赛事,60.5万
一条小团团OvO,50.4万
斗鱼浪子彦,44.6万
谢彬DD,43.8万
四川雨泽户外,43.6万
DY烁哥,43.2万
abcdMouse,41.7万
A老回,41.1万
叶知秋Vanessa,40.2万
深山大咖,39.5万
BoA丶月月,39.2万
解说风筝,38.8万
淳色,37.1万
辛巴imb丶丶,36.9万
异灵术老师,36.5万
eStar丶教父,34.2万
大龙猫,34万
eStarPro诺言,33.6万
雨昕丶,33.4万
西瓜太浪xx,33.2万
99老弟,33.1万
言小七i,32.7万
你的珂珂宝,31.4万
斗鱼KPL荣耀战场,31.4万
王者荣耀官方赛事3,31.3万
黄金大奖赛,30.6万
誓言丨新游手游领导者,30.4万
赏金术士2018,30万
DNF亡誓,29.4万
方歌儿儿儿,28.7万
科技美学中国,28.5万
神秘嘉宾澄纸,28.4万
只有十五岁的涛妹,28.3万
我是骚某某,28.3万
820邹倚天,27.4万
懒癌丶小寒月,27.4万
清歌与世无争,27.3万
智商为九,25.4万
像枫,25.1万
Poker丶小旺,24.6万
阿聪丷,23.1万
二胖二胖王二胖,22.9万
天然呆老湿,22.9万
单车老师不迟到,22.7万
imbadota2频道2,22.6万
污妖王丶沈小蔓,22.3万
雪莉人呢,22万
小主播羽大炮,21.9万
小儿郎丶丶,21.9万
OMG笑容,21.6万
声优赵猥琐,21万
PP阳,20.7万
解说白乐,20.6万
晓松哥,20.6万
sViper潇洒,20.3万
进击の神乐,19.6万
DNF枪魂冰子,19.6万
主播温州炮哥,18.8万
狗康Bfate丶,18.7万
冷未央丶,18.4万
老乡开下门,18.4万
进击的神乐,18.2万
sViper丶阿灿,18.1万
傲少丶,17.9万
仙凡哥哥丶,17.2万
小米虫y,17万
1K黄辉冯,16.8万
熊jolababy,16.8万
小米粥OvO,16.6万
天赐解说丷,16.5万
穿越火线运营团队,16.3万
ForeverTED,16.3万
渝万丶浮生,16.2万
英雄联盟官方赛事二,16.2万
走黯,15.6万
豆豆丶Thomas,15.4万
主播秋山澪丶,15.3万
As童话话话,15.3万
狂仔酷炫,15.2万
绝地求生赛事3,15.2万
我是YF宝宝阿,14.8万
落叶听松,14.8万
心机老师,13.9万
叶子户外,13.8万
川味箩卜,13.7万
音七Simple,13.6万
T1丶勤劳的小亮,13.6万
毕竟是柚子,13.6万
沐戮,13.6万
大枪炮狗,13.6万
陈翔六点半,13.5万
秀梦哒哒,13.4万
Jue美娘,13.3万
屿鹿你好阿,13.2万
屿鹿你好阿,13.2万
s1134,13.2万
小妈的安妮妮丶,13.2万
蛋蛋解说丶,12.9万
Biu十月113,12.8万
爱吃鱼的石原,12.7万
非洲啊振,12.7万
龍骑士丶宁波小骚骚,12.6万
乔公举,12.5万
老皮历险记,12.5万
林熙Lxxi,12.2万
无月DSB丶,12.1万
Misa喵老师,12.1万
Le大帅,11.7万
小圈子丶呆宝丫,11.5万
魔音糯米,11.3万
亦涵阿,11.1万
尐表哥,11万
苏打锋,10.9万
胖胖C,10.8万
我叫朱小贱,10.7万
UnaDirezione,10.7万
MQ丶聪全蛋,10.5万
李瑞汐七哥,10.3万
酸酸酸奶君,10.3万
路人王Asuka,10.3万
小棒棒乄,10.3万
吃米滴虫,10.2万
DWG直播Nuclear,10.1万
令哥jjc,10.1万
DWG直播Hoit,10万
DWG直播Nuguri,10万
Dota小蝴蝶,10万
主播盒子,9.9万
杰出哥,9.9万
主播阿郎,9.7万
茹r真的很甜,9.6万
百变姑姑肖淑洁,9.6万
我是264,9.6万
YZDY七月,9.6万
皇玺丶Jony乔尼,9.4万
viko酱丶,9.4万
AMa0丶啊毛,9.4万
MdyPpy,9.4万
钟小傲,9.3万
凌云灬,9.2万
肉丝叔叔,9.2万
彭彭酱吖,9.2万
主任5748,9万
画饼李,9万
Lifeiwnl,9万
十三三三,9万
吴山人丷,8.9万
皇玺丶瑞文,8.7万
白白的胖胖呀,8.7万
FeiYu丶小天很强的,8.6万
渝万丶狗哥,8.5万
疯子的峰哥,8.5万
微笑爱吃豆芽儿,8.5万
冷冷137570,8.5万
我是大蛤蟆阿,8.4万
惊蜇,8.3万
荣耀洋洋,8.3万
瓜皮蛙蛙,8.3万
LYG丶yyxovo,8.2万
阿Biu一身绝技,8.2万
渝万轩,8.2万
白鲨大娇娇,8.2万
全能王拉哥300401,8.1万
王者上演,8万
跨三A老顽童嘤嘤叔,8万
柄柄c丶,7.9万
小九安安,7.9万
轲神丶三土,7.8万
山东蓝翔技工学院,7.8万
微甜吖,7.6万
午夜锦年,7.5万
單人影,7.5万
主播20投,7.5万
绝地辣妹兔兔,7.4万
唐唐Libra,7.3万
小仙女janice,7.3万
白鲨王振,7.2万
LYG丶TuDouBoss,7.2万
蹦小样,7.2万
手拿屠龙砍大刀,7.2万
MQ威,7.2万
MQ阿雨,7.2万
坚强丶贵族,7.1万
琦玉琦玉丶,7.1万
奶糖是喵不是糖,7万
良辰打野贼6丶,7万
